message,emoji
חג פורים שמח לכולם! 🎭,🎭
מבצע השבוע על מוצרי FOOD APEAL🔥
משלוח עד הבית — צרו קשר בוואטסאפ,🚚
מגוון ענק של כלים חד פעמיים במחירים מטורפים,🛍️
כוסות שתייה בירה 3 שרוולים ב-15 ש"ח ☕
