מחלקה,ברקוד,פריט,ספק,01/09/2025,עלות,מחיר מכירה,כמות במלאי,כמות מינימלי,כמות מקסימלי,"סה""כ עלות","סה""כ מכירה"
לבית,7.29001E+12,ארגז אחסון 36 ליטר,"פעמית תבניכל שיווק בע""מ ",01/09/2025,22.3,39,21,0,0,468.3,819
יום הולדת,7.29E+12,אריזת זיקוקים 3X10 יחי',שמחה זה אנחנו,15/01/2026,4.63,12,45,0,0,208.35,540
חד פעמי,7.29011E+12,ב- לייט וינטג' צלחת קטנה קרם* 10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",15/12/2025,4.51,10,26,,,117.26,260
חד פעמי,6.92354E+12,בונבונירה פלסטי על רגל   מכסה,"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,15.13,27,12,,,181.56,324
רכב,5.40034E+12,בוסטר 3 ב-1  POWX4255  700A/12000MAH,"ברייטקום בע""מ ",01/09/2025,952.26,380,1,,,952.26,380
אפיה ומטבח,7.29001E+12,ביסקוויט תה פריך,נאמן לאורך זמן ,18/12/2025,9.32,14,10,0,0,93.2,140
יום הולדת,7.29011E+12,בלון מיילר 34  זהב ספרה 1,שמחה זה אנחנו,18/12/2025,7.38,30,8,0,0,59.04,240
יום הולדת,7.2901E+12,בלון מיילר 34 ורוד בייבי ספרה 1,שמחה זה אנחנו,18/12/2025,7.38,30,9,,,66.42,270
יום הולדת,7.2901E+12,בלון מיילר 34 ורוד בייבי ספרה 3,שמחה זה אנחנו,01/09/2025,7.38,30,8,,,59.04,240
יום הולדת,7.29011E+12,בלון מיילר 34 זהב ספרה 9,שמחה זה אנחנו,01/09/2025,7.38,30,10,,,73.8,300
יום הולדת,7.29011E+12,בלון מיילר 34 כסף ספרה 1,שמחה זה אנחנו,01/09/2025,7.38,30,4,0,0,29.52,120
יום הולדת,7.2901E+12,"בלון מיילר 34"" ורוד בייבי ספרה 2",שמחה זה אנחנו,01/09/2025,7.38,30,4,0,0,29.52,120
יום הולדת,7.2901E+12,"בלון מיילר 34"" ורוד בייבי ספרה 5",שמחה זה אנחנו,16/11/2025,7.38,30,8,0,0,59.04,240
יום הולדת,7.2901E+12,"בלון מיילר 34"" כחול ספרה 6",שמחה זה אנחנו,15/12/2025,7.38,30,4,0,0,29.52,120
לבית,7.29124E+12,בליסטר  4 סוללות AAAאולטרה אלקליין,"ברייטקום בע""מ ",15/12/2025,3.54,7,88,,,311.52,616
לבית,7.29124E+12,בליסטר 5 סוללות AG13 | LR44 סופר אלקליין  DUAL POWER,"ברייטקום בע""מ ",15/12/2025,2.95,18,8,,,23.6,144
לבית,7.29124E+12,בליסטר 5 סוללות CR1220 ליתיום  DUAL POWER,"ברייטקום בע""מ ",15/12/2025,9.56,18,10,,,95.6,180
לבית,7.90147E+12,בליסטר 5 סוללות CR1616 ליתיום  DUAL POWER,"ברייטקום בע""מ ",15/12/2025,9.56,18,10,,,95.6,180
לבית,7.29124E+12,בליסטר 5 סוללות CR2032 ליתיום  DUAL POWER,"ברייטקום בע""מ ",06/01/2026,9.56,18,5,,,47.8,90
לבית,7.291E+12,בליסטר 5 סוללות LR41 / AG3 סופר אלקליין  DUAL POWER,"ברייטקום בע""מ ",06/01/2026,2.95,18,9,,,26.55,162
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק אבן אודם,"מנדלברג בע""מ",06/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק אבן טורקיז,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק אבן תכלת,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק אדום ארגמן,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק אדום ענבר,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק אולטרה סגול,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק ברונזה,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק זהב לאסטר,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק זהב ספארקל,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,6.93493E+11,בליסטר א. איבוק זהב קיסר,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק כסף לאסטר,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק כסף ספארקל,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק נחושת,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק פנינה לאסטר,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק פנינה ספארקל,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר א. איבוק רוז גולד,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מיים ורוד/בזוקה/אדום ענבים,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים אדום אקסטרה,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים אדום עמוק,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים חום,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים ירוק,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים כחול,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים כתום,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים סגול,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים צהוב,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר מסיס מים שחור,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן אדום,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן אדום עמוק,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן אדום ענבים,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן ירוק,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן כחול,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן כתום,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן סגול חציל,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן צהוב,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר מסיס שומן שחור,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הברק אדום,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ אדום ענבר,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ ברונזה,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ ורוד בייבי,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ ורוד שושנה,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ זהב,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ טורקיז,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ ירוק יער,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ ירוק עלה,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ כחול,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ כחול שמים,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ כסף,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ כתום,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ סגול,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ פנינה,"מנדלברג בע""מ",05/01/2026,9.91,18,2,,,19.82,36
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ צהוב,"מנדלברג בע""מ",05/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29002E+12,בליסטר סדרת הנצנוץ שחור,"מנדלברג בע""מ",29/12/2025,9.91,16,2,,,19.82,32
אפיה ומטבח,6.93493E+11,בליסטר צבע מאכל סופר שחור,"מנדלברג בע""מ",04/01/2026,9.91,16,2,,,19.82,32
אפיה ומטבח,7.29001E+12,בן או בת,"המרשלג  פרלינס בע""מ ",29/12/2025,21.24,36,4,,,84.96,144
אפיה ומטבח,7.29001E+12,בסיס פאי עגול מתוק 24 ס'מ,"רות פטיפורים בע""מ",29/12/2025,15.78,26,9,,,142.02,234
אפיה ומטבח,7.29001E+12,בצק סוכר חד קרן,"המרשלג  פרלינס בע""מ ",29/12/2025,20.53,35,3,,,61.59,105
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום אדום 250 ג',"המרשלג  פרלינס בע""מ ",29/12/2025,7.67,14,8,,,61.36,112
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום ורוד 250 ג',"המרשלג  פרלינס בע""מ ",29/12/2025,7.67,14,8,,,61.36,112
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום ירוק 250 ג',"המרשלג  פרלינס בע""מ ",29/12/2025,7.67,14,8,,,61.36,112
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום כחול 250 ג',"המרשלג  פרלינס בע""מ ",29/12/2025,7.67,14,8,,,61.36,112
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום לבן 250ג',"המרשלג  פרלינס בע""מ ",29/12/2025,7.67,16,8,,,61.36,128
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום לפיסול לבן 250 ג',"המרשלג  פרלינס בע""מ ",29/12/2025,7.67,14,8,,,61.36,112
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום צהוב 250 ג',"המרשלג  פרלינס בע""מ ",26/01/2026,7.67,14,8,,,61.36,112
אפיה ומטבח,7.29001E+12,בצק סוכר פרימיום שחור 250 ג',"המרשלג  פרלינס בע""מ ",26/01/2026,7.67,14,7,,,53.69,98
אפיה ומטבח,7.29012E+12,"בקבוק לרוטב נפח 360 מ""ל","פעמית תבניכל שיווק בע""מ ",11/01/2026,2.24,7,46,,,103.04,322
אפיה ומטבח,7.29012E+12,"בקבוק לרוטב נפח 720 מ""ל","פעמית תבניכל שיווק בע""מ ",18/12/2025,3.3,8,35,,,115.5,280
לבית,6.97988E+12,בקבוק מעוטר, ספק כללי,01/09/2025,5.9,14,4,,,23.6,56
לבית,8.4125E+12,"בקבוק עם פקק פיגורינה 560 מ""ל סטיץ",שמחה זה אנחנו,03/12/2025,26.08,45,6,,,156.48,270
רכב,7.29E+12,בקבוק ריח לתליה,"סנרייז אבי בע""מ ",03/12/2025,5.9,10,16,0,0,94.4,160
מוצרי נקיון,7.29011E+12,ג'ל + מרכך סופט 2 ליטר,"החברה הדרומית לשיווק בע""מ ",18/01/2026,31.39,42,5,,,156.95,210
מוצרי נקיון,7.29001E+12,ג'ל כביסה בייבי 3 ליטר,"החברה הדרומית לשיווק בע""מ ",01/09/2025,28.32,38,5,,,141.6,190
אפיה ומטבח,6.93493E+11,ג'לטין 200 גר',שף קונדיטור,01/09/2025,32.45,55,6,,,194.7,330
אפיה ומטבח,7.29001E+12,ג'לטין בקופסא השף אלפרדו,נאמן לאורך זמן ,01/09/2025,7.67,13,23,0,0,176.41,299
חד פעמי,7.29011E+12,ג- זוג כפות הגשה וינטג שקוף,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,1.77,5,221,,,391.17,1105
אפיה ומטבח,7.29011E+12,ג- מצקת שקופה למרק,"נ.ש.מ יבוא שיווק והפצה בע""מ ",05/01/2026,2.24,4,37,,,82.88,148
אפיה ומטבח,7.29011E+12,ג- מרית לעוגה - שקוף,"נ.ש.מ יבוא שיווק והפצה בע""מ ",03/12/2025,1.77,4,4,,,7.08,16
חד פעמי,7.29002E+12,"גביע 150 סמ""ק + מכסה אר' 100 יח'","אופל אריזות בע""מ ",30/12/2025,188.8,30,1676,,,316428.8,50280
חד פעמי,7.29E+12,"גביע 250 סמ""ק 15 יחי + מכסה","מחטף יבוא ושיווק בע""מ ",30/12/2025,4.53,12,35,,,158.55,420
חד פעמי,6.11109E+11,גביע אחסון + מכס 500CC א 8,"משי תעשיות פלסטיק בע""מ ",01/02/2026,3.66,7,72,,,263.52,504
חד פעמי,6.11109E+11,גביע אחסון +מכסה 250CC א-8,"משי תעשיות פלסטיק בע""מ ",01/09/2025,3.66,7,72,,,263.52,504
חד פעמי,7.2901E+12,גביע זכוכית מעוטר אלגנט אמבר/שקוף,"י.סולומון חוויה שבכלי בע""מ",01/09/2025,4.6,9,48,,,220.8,432
חד פעמי,6.92354E+12,"גביע טרייפל פלסטי ק20.80 ג16.50ס""מ ר זהב","דקל יבוא ויצור דברי נוי בע""מ ",29/12/2025,11.09,22,4,0,0,44.36,88
חד פעמי,7.29011E+12,גביע יין רגל נצנצים זהב 6 יחי',"נ.ש.מ יבוא שיווק והפצה בע""מ ",06/01/2026,8.14,12,30,0,0,244.2,360
חד פעמי,7.29001E+12,גביע כדורגל,"המרשלג  פרלינס בע""מ ",12/02/2026,20.53,35,3,,,61.59,105
יום הולדת,7.29002E+12,גביע פופקורן 85OZ,אלי אקסטרה ,29/12/2025,26.55,3,6,,,159.3,18
חד פעמי,6.92354E+12,"גביע פלסטי ק11 ג16 ס""מ רגל זהב","דקל יבוא ויצור דברי נוי בע""מ ",14/01/2026,6.05,10,12,,,72.6,120
יום הולדת,7.29001E+12,גול כדורגל,"המרשלג  פרלינס בע""מ ",01/09/2025,20.53,35,4,,,82.12,140
לבית,7.29012E+12,גומי לאמבטיה STONE,"סקטור אפיקים בע""מ ",01/09/2025,8.85,16,24,,,212.4,384
יום הולדת,7.29002E+12,גומי לעיסה טבליות צ'יקלט 250 גר',נאמן לאורך זמן ,25/01/2026,7.73,12,3,0,0,23.19,36
יום הולדת,7.29002E+12,גומי לעיסה כדורים ג'ולים 180 גר',נאמן לאורך זמן ,13/01/2026,6.61,12,2,0,0,13.22,24
חד פעמי,7.29012E+12,"גיליון עטיפה 70*100 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",13/01/2026,3.42,6,110,,,376.2,660
חד פעמי,7.29062E+12,"גלגלת חיתוך בצק ""סבתא"" איכותית",דולפין יבוא ושיווק ,15/01/2026,10.03,18,6,,,60.18,108
חד פעמי,6.92057E+12,"גליל 100 יח' שקיות זילוף ירוקות 50 ס""מ",דולפין יבוא ושיווק ,15/01/2026,59,105,3,,,177,315
חד פעמי,6.92354E+12,גליל אלבד מודפס 25 ס 3 ירד פורים שמח צבעוני,"דקל יבוא ויצור דברי נוי בע""מ ",15/01/2026,5.55,10,6,,,33.3,60
חד פעמי,6.92354E+12,גליל אלבד מודפס 28 ס 3 ירד פורים שמח,"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,5.55,10,6,,,33.3,60
חד פעמי,6.92354E+12,גליל אלבד מודפס 28ס' 3 ירד פורים שמח,"דקל יבוא ויצור דברי נוי בע""מ ",26/01/2026,5.5,10,6,,,33,60
חד פעמי,7.29001E+12,גליל דגם רוז לבן-זהב טנדרלי 1.20*25,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/12/2025,20.71,30,2,,,41.42,60
חד פעמי,7.29012E+12,גליל מגן עבה וגמיש עיגולים 45*90,"פעמית תבניכל שיווק בע""מ ",01/12/2025,5.78,10,48,,,277.44,480
חד פעמי,7.29001E+12,גליל מטליות אקולוגי 40 יחי',"מ.א ייצור ויבוא מטליות בע""מ",01/12/2025,16.46,28,13,,,213.98,364
חד פעמי,7.29002E+12,גליל מפה מהודרת מוטבעת 15 מ שמנת,"מ.א ייצור ויבוא מטליות בע""מ",05/09/2025,17.46,30,8,,,139.68,240
חד פעמי,7.29002E+12,גליל מפה מהודרת מוטבעת 15מ כסף,"מ.א ייצור ויבוא מטליות בע""מ",01/09/2025,17.46,30,15,,,261.9,450
חד פעמי,7.29012E+12,גליל מפה מובלטת לבן 15 מ' 1.4 ר',"נ.ש.מ יבוא שיווק והפצה בע""מ ",15/01/2026,18.76,30,25,,,469,750
לבית,7.29E+12,גליל נייר תעשיתי, ספק כללי,01/09/2025,22,35,11,0,32,242,385
חד פעמי,6.92354E+12,גליל סרט סאטן 10 יארד פורים שמח מסכה,"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,4,9,32,,,128,288
אפיה ומטבח,7.29001E+12,גלילי וופל בטעם אגוז,"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,2.71,4,16,0,0,43.36,64
אפיה ומטבח,7.29001E+12,גלילי וופל בטעם שוקולד,"הנמל אריזות ושיווק 1984 בע""מ ",18/01/2026,2.71,4,14,0,0,37.94,56
אפיה ומטבח,8.35811E+11,גליליות וופל למילוי 15 יחי,"הנמל אריזות ושיווק 1984 בע""מ ",18/12/2025,14.04,22,7,0,0,98.28,154
חד פעמי,7.29E+13,גמבו עגול 200 גר',"הנמל אריזות ושיווק 1984 בע""מ ",18/12/2025,5.9,10,15,,,88.5,150
חד פעמי,7.75986E+12,גסטרונום חצי 33-26-65,"רוי מרקטינג יבוא בע""מ ",18/12/2025,23.01,50,6,,,138.06,300
חד פעמי,7.75986E+12,גסטרונום רבע 26-16--65,"רוי מרקטינג יבוא בע""מ ",12/01/2026,20.06,35,6,,,120.36,210
חד פעמי,7.75986E+12,גסטרונום שליש 32-17-65,"רוי מרקטינג יבוא בע""מ ",01/09/2025,22.42,40,6,,,134.52,240
לבית,7.29001E+12,גפרורים ארוכים אר' 45,"פעמית תבניכל שיווק בע""מ ",01/09/2025,3.3,6,22,,,72.6,132
אפיה ומטבח,7.29012E+12,דבק חבלה שחור,"פעמית תבניכל שיווק בע""מ ",01/09/2025,5.78,15,17,0,0,98.26,255
אפיה ומטבח,7.29001E+12,"דבש טבעי בד""צ לחיץ 350 גר'",נאמן לאורך זמן ,05/02/2026,16.61,24,11,0,0,182.71,264
אפיה ומטבח,7.29001E+12,דבש טבעי יערה/חלת דבש 500 גר',נאמן לאורך זמן ,10/12/2025,22.69,33,14,0,0,317.66,462
מוצרי נקיון,7.29001E+12,דואופרש יסמין עץ סאנ,"החברה הדרומית לשיווק בע""מ ",10/12/2025,9.09,15,12,,,109.08,180
מוצרי נקיון,7.29002E+12,דוייפאק 2 ליטר BIO רוז,"א.ד שיווק מבשמים בע""מ ",10/12/2025,27.02,37,5,,,135.1,185
מוצרי נקיון,7.29002E+12,דויפאק 2 ליטר BIO ארומטי,"א.ד שיווק מבשמים בע""מ ",05/01/2026,27.02,37,7,,,189.14,259
מוצרי נקיון,7.29002E+12,דויפאק 2 ליטר BIO בייבי,"א.ד שיווק מבשמים בע""מ ",05/01/2026,27.02,37,15,,,405.3,555
מוצרי נקיון,7.29012E+12,דלי 12 לי' עם פיה ורוד,"פעמית תבניכל שיווק בע""מ ",01/09/2025,5.43,10,4,,,21.72,40
מוצרי נקיון,7.29001E+12,דלי מגבונים לניקוי כללי 400 יחי',"יוניק קר יבוא וסחר בע""מ ",01/02/2026,15.34,25,30,,,460.2,750
מוצרי נקיון,7.29737E+12,דלי מטליות לחות לריצפה 50 יחי' סופט,"יוניק קר יבוא וסחר בע""מ ",01/02/2026,21.24,30,16,0,0,339.84,480
אפיה ומטבח,7.29E+12,דליקטס גדול 5 יחי',"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,2.6,5,34,,,88.4,170
אפיה ומטבח,7.29E+12,דליקטס קטן 10 יחי',"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,2.6,5,38,,,98.8,190
אפיה ומטבח,7.29011E+12,ה- זוג כפות הגשה וינטג-לייט ורוד עתיק,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,1.77,5,41,,,72.57,205
אפיה ומטבח,7.29012E+12,ה-קערה עגולה+פס זהב 10*24.5,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.13,7,35,,,144.55,245
אפיה ומטבח,7.29011E+12,ו- זוג כפות הגשה וינטג-לייט לבן,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,1.77,5,150,,,265.5,750
אפיה ומטבח,7.29012E+12,ו- לבן וינטג' סכין לייט*10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,236,,,521.56,944
אפיה ומטבח,7.29012E+12,ו-קערה עגולה +פס זהב 10.5*22,"נ.ש.מ יבוא שיווק והפצה בע""מ ",11/01/2026,4.72,8,5,,,23.6,40
אפיה ומטבח,7.29012E+11,"ו-קערה עגולה+ פס זהב 6*25 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",04/01/2026,4.6,1,24,,,110.4,24
אפיה ומטבח,7.29012E+12,"ואזה מזכוכית בקבוק 19.5*7.5 ס""מ","י.סולומון חוויה שבכלי בע""מ",01/09/2025,8.14,16,12,,,97.68,192
אפיה ומטבח,7.29E+12,וופל קלאסי שוקו 200 גר',"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,2.71,4,24,,,65.04,96
אפיה ומטבח,7.29E+12,וופל קראנץ במילוי קרם בטעם שוקולד,"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,2.71,4,9,0,0,24.39,36
אפיה ומטבח,6.92354E+12,"וזה פלסטי בצורת משורה ק3 ג23 ס""מ","דקל יבוא ויצור דברי נוי בע""מ ",12/02/2026,3.53,6,1,0,0,3.53,6
אפיה ומטבח,6.92354E+12,"וזה פלסטיק על רגל ק8.3 ג20.5 ס""מ","דקל יבוא ויצור דברי נוי בע""מ ",14/01/2026,3.53,6,8,0,0,28.24,48
אפיה ומטבח,6.92354E+12,"וזה פלסטיק רגל ג29 ק11 ס""מ","דקל יבוא ויצור דברי נוי בע""מ ",29/12/2025,10.09,18,12,,,121.08,216
אפיה ומטבח,7.29011E+12,וילון האפלה 140/240 אפור,"סקטור אפיקים בע""מ ",01/09/2025,35.4,65,6,,,212.4,390
אפיה ומטבח,7.29001E+12,ורדים,"המרשלג  פרלינס בע""מ ",03/09/2025,15.05,27,6,,,90.3,162
אפיה ומטבח,7.29011E+12,ז- לייט וינטג' צלחת בינונית מנטה * 10,"נ.ש.מ יבוא שיווק והפצה בע""מ ",25/01/2026,6.64,12,12,,,79.68,144
אפיה ומטבח,7.29011E+12,ז-לייט וינטג גדול שחור 10 יח',"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,7.88,13,3,,,23.64,39
אפיה ומטבח,7.29011E+12,זוג כפות הגשה וינטג' לייט שחור,"נ.ש.מ יבוא שיווק והפצה בע""מ ",14/12/2025,1.77,4,100,,,177,400
אפיה ומטבח,7.29002E+12,זוג נרות ספירלה בצבע לבן,"אליס אריזות מתנה בע""מ ",14/12/2025,10.83,20,10,0,0,108.3,200
אפיה ומטבח,6.92354E+12,חב 10 יחי' סרט משיכה מנוקד כחול,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,2.5,6,19,,,47.5,114
אפיה ומטבח,6.92354E+12,חב' 10 יחי סרט משיכה מיטאלי כתום,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,4,8,10,,,40,80
אפיה ומטבח,6.93026E+12,חב' 10 יחי שקית אורג' 10/15 ורוד,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,3.79,8,10,,,37.9,80
אפיה ומטבח,6.92354E+12,חב' 10 יחי'  סרט משיכה מנוקד זהב,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,2.5,6,20,,,50,120
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי אדום,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,2.5,6,19,,,47.5,114
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי זהב,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,2.5,6,20,,,50,120
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי זהב,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,4,8,7,,,28,56
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי ירוק,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,4,8,10,,,40,80
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי ירוק,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,2.5,6,19,,,47.5,114
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי כחול,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,4,8,9,,,36,72
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי כחול,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,2.5,6,20,,,50,120
אפיה ומטבח,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי כסף,"דקל יבוא ויצור דברי נוי בע""מ ",14/12/2025,4,8,9,,,36,72
