מחלקה,ברקוד,פריט,ספק,01/09/2025,עלות,מחיר מכירה,כמות במלאי,כמות מינימלי,כמות מקסימלי,"סה""כ עלות","סה""כ מכירה"
חד פעמי,7.29012E+12,'ג- לייט וינטג' צלחת גדולה זהב * 10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,7.88,13,14,,,110.32,182
חד פעמי,7.29011E+12,'ג- קסרול וינטג' זהב * 6 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.51,7,24,,,108.24,168
חד פעמי,7.29012E+12,'ד- מנטה וינטג' מזלג לייט *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,139,,,307.19,556
חד פעמי,7.29012E+12,'ד- מנטה וינטג' סכין לייט*10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,36,,,79.56,144
חד פעמי,7.29011E+12,'ה- מגש וינטג' אובלי גדול שקוף * 3 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.98,10,54,,,214.92,540
חד פעמי,7.29011E+12,'ה- מגש וינטג' אובלי עמוק  שקוף * 3 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.98,8,36,,,143.28,288
חד פעמי,7.29011E+12,'ה- קסרול וינטג' שקוף * 6 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.52,7,54,,,244.08,378
חד פעמי,7.29012E+12,'ו- לבן וינטג' כף לייט *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,124,,,274.04,496
חד פעמי,7.29012E+12,'ו- לבן וינטג' כפית לייט*10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,1.06,4,57,,,60.42,228
חד פעמי,7.29012E+12,'ו- לבן וינטג' מזלג לייט *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,193,,,426.53,772
חד פעמי,7.29011E+12,'ז- לפתניה וינטג' מנטה *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.51,7,20,,,90.2,140
חד פעמי,7.29011E+12,'ז- מגש וינטג' אובלי עמוק מנטה * 3 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.98,8,9,,,35.82,72
חד פעמי,7.29011E+12,'ז- מרקיה וינטג' מנטה *10יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.02,10,6,,,36.12,60
חד פעמי,7.29011E+12,'ז- קסרול וינטג' מנטה *  6 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.51,7,77,,,347.27,539
חד פעמי,7.29011E+12,'ח- לייט וינטג' צלחת קטנה ורוד* 10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.51,8,19,,,85.69,152
חד פעמי,7.29011E+12,'ח- לפתניה וינטג' ורוד *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.51,7,17,,,76.67,119
חד פעמי,7.29012E+12,'ט- קרם וינטג' כף לייט *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,120,,,265.2,480
חד פעמי,7.29012E+12,'ט- קרם וינטג' כפית לייט*10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,1.06,4,68,,,72.08,272
